id_pedido,data,id_cliente,tipo_cliente,estado,regiao,id_produto,categoria_Produto,quantidade,preco_unitario,modo_pagamento,canal,status,tempo_entrega_dias,avaliacao,cupom_usado,valor_bruto,custo_frete,valor_desconto,valor_final,ano,mes,dia_semana
ORD000001,2025-04-13,2930,Novo,GO,Centro-Oeste,31346,Bebidas,11,441.09,Boleto Bancário,WhatsApp,Entregue,11,3.0,0,4851.99,50.63,0.0,4902.62,2025,4,Domingo
ORD000002,2025-12-15,3861,Recorrente,BA,Centro-Oeste,20619,Bebidas,7,225.75,Cartão de Crédito,Instagram,Entregue com atraso,14,,0,1580.25,46.99,0.0,1627.24,2025,12,Segunda-feira
ORD000003,2025-09-28,4958,Recorrente,RJ,Nordeste,11766,Papelaria,4,316.35,Cartão de Debito,Google Ads,Entregue,4,4.0,0,1265.4,59.59,0.0,1324.99,2025,9,Domingo
ORD000004,2025-04-17,4087,Novo,BA,Sudeste,13549,Equipamento Industrial,5,250.3,Pix,Instagram,Entregue com atraso,8,,0,1251.5,14.92,0.0,1266.42,2025,4,Quinta-feira
ORD000005,2025-03-13,2152,Recorrente,ES,Centro-Oeste,28693,Equipamento Industrial,11,437.56,Boleto Bancário,Google Ads,Entregue,9,3.0,0,4813.16,45.2,0.0,4858.36,2025,3,Quinta-feira
ORD000006,2025-07-08,1574,Novo,RJ,Centro-Oeste,72019,Equipamento Industrial,9,278.0,Cartão de Crédito,Orgânico,Entregue,7,3.0,0,2502.0,58.91,0.0,2560.91,2025,7,Terça-feira
ORD000007,2025-01-21,4180,Recorrente,PE,Centro-Oeste,58328,Bebidas,7,245.58,Cartão de Debito,WhatsApp,Entregue,4,3.0,0,1719.06,32.05,0.0,1751.11,2025,1,Terça-feira
ORD000008,2025-04-13,2910,Novo,RS,Sul,87701,Papelaria,7,463.05,Cartão de Crédito,Google Ads,Cancelado,7,,0,3241.35,46.14,0.0,3287.49,2025,4,Domingo
ORD000009,2025-05-02,2012,Recorrente,SC,Sudeste,99100,Comida,10,362.65,Cartão de Debito,Marketplace,Entregue,6,5.0,1,3626.5,58.72,362.65,3322.5699999999997,2025,5,Sexta-feira
ORD000010,2025-08-03,4604,Novo,PE,Sul,35301,Comida,7,64.66,Pix,Orgânico,Entregue,11,3.0,0,452.62,36.47,0.0,489.09000000000003,2025,8,Domingo
ORD000011,2025-11-27,1669,Recorrente,PR,Sul,54763,Equipamento Industrial,9,97.08,Boleto Bancário,Google Ads,Cancelado,12,,1,873.72,44.35,87.37,830.7,2025,11,Quinta-feira
ORD000012,2025-03-29,1268,Novo,SP,Centro-Oeste,30765,Comida,5,395.69,Cartão de Crédito,Marketplace,Devolvido,3,,0,1978.45,9.04,0.0,1987.49,2025,3,Sábado
ORD000013,2025-04-10,4233,Recorrente,RJ,Centro-Oeste,54787,Papelaria,6,419.57,Boleto Bancário,Orgânico,Entregue com atraso,10,,0,2517.42,35.02,0.0,2552.44,2025,4,Quinta-feira
ORD000014,2025-12-26,2283,Recorrente,BA,Nordeste,17425,Equipamento Industrial,3,277.14,Pix,Google Ads,Entregue,3,2.0,0,831.42,21.3,0.0,852.7199999999999,2025,12,Sexta-feira
ORD000015,2025-06-01,1923,Recorrente,SP,Sudeste,22857,Papelaria,1,281.68,Cartão de Debito,Marketplace,Entregue,1,2.0,1,281.68,14.82,28.17,268.33,2025,6,Domingo
